,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,1,VER,85.157,2.0,1.0,30.527,30.848,23.782,272.0,229.0,244.0,285.0,MEDIUM,5.0,Red Bull Racing,1.0,184.49074074074073,292.0,84.0,54.75308641975309,0.39814814814814814,0.21296296296296297,28.8,49.5,201.0,0.8,27.983123438491702,10.408743867348978,0
1,2,VER,85.07,3.0,1.0,30.491,30.724,23.855,269.0,230.0,242.0,287.0,MEDIUM,6.0,Red Bull Racing,1.0,182.953125,294.0,87.0,53.259375,0.365625,0.2125,28.8,50.1,36.0,1.8,-135.16381224445203,41.1412364426323,2
2,4,VER,84.843,5.0,1.0,30.395,30.707,23.741,272.0,231.0,242.0,286.0,MEDIUM,8.0,Red Bull Racing,1.0,184.5754716981132,293.0,84.0,55.84591194968554,0.4025157232704403,0.19811320754716982,28.8,49.2,117.0,2.7,-55.76660706304849,22.90496147552073,0
3,5,VER,84.596,6.0,1.0,30.248,30.586,23.762,276.0,227.0,243.0,284.0,MEDIUM,9.0,Red Bull Racing,1.0,185.67834394904457,292.0,86.0,54.70700636942675,0.39171974522292996,0.2070063694267516,29.0,50.1,236.0,1.6,62.3947425482024,3.1283885395912803,1
4,7,VER,84.509,8.0,1.0,30.362,30.468,23.679,277.0,230.0,241.0,286.0,MEDIUM,11.0,Red Bull Racing,1.0,184.66237942122186,293.0,86.0,55.18006430868167,0.3954983922829582,0.21864951768488747,29.1,49.2,111.0,2.2,-61.93078524999858,22.928273224383826,0
5,10,VER,84.462,11.0,1.0,30.318,30.352,23.792,278.0,232.0,241.0,284.0,MEDIUM,14.0,Red Bull Racing,1.0,184.35670731707316,292.0,85.0,56.49085365853659,0.40853658536585363,0.19817073170731708,28.9,49.5,136.0,1.7,-37.28180000658702,15.10873311547403,0
6,11,VER,84.306,12.0,1.0,30.274,30.285,23.747,277.0,232.0,242.0,285.0,MEDIUM,15.0,Red Bull Racing,1.0,185.13650793650794,293.0,84.0,55.36190476190476,0.4095238095238095,0.2126984126984127,29.0,49.6,155.0,1.2,-18.833551035042458,9.309733363501415,0
7,13,VER,84.201,14.0,1.0,30.251,30.2,23.75,276.0,235.0,242.0,285.0,MEDIUM,17.0,Red Bull Racing,1.0,185.14147909967846,294.0,84.0,55.78778135048231,0.40836012861736337,0.22508038585209003,29.1,49.3,68.0,0.6,-105.93066704589083,24.80801237413183,2
8,14,VER,84.121,15.0,1.0,30.331,30.156,23.634,277.0,237.0,244.0,284.0,MEDIUM,18.0,Red Bull Racing,1.0,187.50314465408806,294.0,85.0,56.07232704402516,0.39308176100628933,0.23270440251572327,29.0,49.0,103.0,1.5,-72.1411682336208,16.863746762336014,0
9,20,VER,84.012,21.0,1.0,30.306,30.065,23.641,277.0,237.0,243.0,287.0,MEDIUM,24.0,Red Bull Racing,1.0,186.23701298701297,295.0,82.0,57.47402597402598,0.4155844155844156,0.19480519480519481,29.2,49.2,129.0,0.8,-47.3993638218707,3.1524813265159657,0
10,24,VER,83.777,25.0,2.0,30.109,30.145,23.523,271.0,235.0,245.0,286.0,HARD,2.0,Red Bull Racing,1.0,185.23961661341852,294.0,86.0,57.31309904153355,0.3961661341853035,0.21405750798722045,29.0,48.8,38.0,2.0,-133.703110614407,38.74984396446177,2
11,25,VER,83.717,26.0,2.0,30.176,30.036,23.505,278.0,236.0,243.0,287.0,HARD,3.0,Red Bull Racing,1.0,185.70754716981133,295.0,86.0,54.314465408805034,0.36477987421383645,0.2169811320754717,29.0,48.3,314.0,0.6,134.39357917993703,-36.88590488388928,1
12,26,VER,83.636,27.0,2.0,30.286,29.961,23.389,279.0,237.0,245.0,286.0,HARD,4.0,Red Bull Racing,1.0,185.60666666666665,294.0,86.0,56.03666666666667,0.4066666666666667,0.23,29.0,48.6,186.0,1.2,12.37246099045481,8.603515206095112,0
13,27,VER,83.687,28.0,2.0,30.161,30.061,23.465,278.0,236.0,246.0,288.0,HARD,5.0,Red Bull Racing,1.0,185.99679487179486,295.0,87.0,54.5,0.38782051282051283,0.22756410256410256,29.0,48.5,316.0,1.2,136.60653867814747,-35.62147273382937,1
14,28,VER,83.762,29.0,2.0,30.21,30.048,23.504,279.0,236.0,246.0,289.0,HARD,6.0,Red Bull Racing,1.0,188.49526813880126,295.0,85.0,54.61198738170347,0.38485804416403785,0.21451104100946372,29.1,48.1,347.0,1.6,167.50472075411966,-40.65155189714625,1
15,29,VER,83.624,30.0,2.0,30.068,30.108,23.448,277.0,236.0,246.0,290.0,HARD,7.0,Red Bull Racing,1.0,187.65584415584416,297.0,84.0,56.061688311688314,0.4025974025974026,0.2012987012987013,29.1,48.5,67.0,1.7,-106.31377776309647,26.922828493268668,2
16,30,VER,83.59,31.0,2.0,30.35,29.744,23.496,279.0,240.0,246.0,289.0,HARD,8.0,Red Bull Racing,1.0,186.0906148867314,296.0,86.0,55.23300970873787,0.3948220064724919,0.20711974110032363,29.3,48.6,114.0,1.2,-59.89611954815032,17.167406493669645,0
17,34,VER,83.489,35.0,2.0,29.983,29.946,23.56,283.0,241.0,247.0,292.0,HARD,12.0,Red Bull Racing,1.0,187.23717948717947,300.0,84.0,57.14102564102564,0.40705128205128205,0.20192307692307693,29.3,48.5,134.0,1.7,-41.466018378866075,5.242848987874827,0
18,37,VER,83.47,38.0,2.0,30.071,29.71,23.689,279.0,241.0,247.0,290.0,HARD,15.0,Red Bull Racing,1.0,188.0261437908497,298.0,84.0,54.92483660130719,0.4150326797385621,0.22875816993464052,29.3,47.5,124.0,1.5,-51.31349592940803,8.761274219381537,0
19,38,VER,84.143,39.0,2.0,30.126,30.073,23.944,282.0,240.0,248.0,292.0,HARD,16.0,Red Bull Racing,1.0,185.39016393442623,302.0,80.0,57.24590163934426,0.419672131147541,0.20655737704918034,29.3,47.4,107.0,1.8,-68.64037377541631,9.470846612727026,0
20,39,VER,83.705,40.0,2.0,30.18,29.844,23.681,283.0,241.0,252.0,291.0,HARD,17.0,Red Bull Racing,1.0,186.30696202531647,301.0,82.0,56.88291139240506,0.4240506329113924,0.2088607594936709,29.2,47.4,170.0,0.8,-6.609155095171736,-4.404011465941333,0
21,40,VER,83.023,41.0,2.0,30.087,29.534,23.402,282.0,244.0,246.0,306.0,HARD,18.0,Red Bull Racing,1.0,189.9752321981424,318.0,78.0,56.371517027863774,0.38699690402476783,0.21981424148606812,29.2,47.4,219.0,1.3,46.767351116360686,11.677823530572232,1
22,41,VER,83.309,42.0,2.0,29.994,29.681,23.634,281.0,243.0,247.0,291.0,HARD,19.0,Red Bull Racing,1.0,186.2811501597444,300.0,82.0,57.96166134185304,0.43130990415335463,0.20766773162939298,29.3,47.5,137.0,0.8,-39.067797708354476,1.3745812716052814,0
23,43,VER,83.772,44.0,2.0,30.045,29.962,23.765,283.0,239.0,247.0,292.0,HARD,21.0,Red Bull Racing,1.0,187.48888888888888,302.0,83.0,57.41904761904762,0.4,0.2126984126984127,29.2,48.1,92.0,2.0,-84.30530319879949,9.129438939369614,0
24,44,VER,83.93,45.0,2.0,30.349,29.945,23.636,285.0,241.0,246.0,293.0,HARD,22.0,Red Bull Racing,1.0,185.20065789473685,304.0,81.0,55.328947368421055,0.40131578947368424,0.23355263157894737,29.0,48.0,351.0,1.7,174.64912246110882,-24.46110318738588,1
25,45,VER,83.639,46.0,2.0,30.174,29.759,23.706,282.0,241.0,245.0,291.0,HARD,23.0,Red Bull Racing,1.0,187.87936507936507,301.0,81.0,56.70793650793651,0.43174603174603177,0.21587301587301588,29.0,48.0,106.0,1.8,-70.54423524726288,6.423863991701936,0
