,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,3,VER,85.251,4.0,2.0,29.996,29.479,25.776,269.0,263.0,293.0,252.0,INTERMEDIATE,2.0,Red Bull Racing,4.0,175.096875,297.0,76.0,52.8875,0.3625,0.271875,16.7,26.2,187.0,1.3,-4.259704099922714,-48.48424717346687,2
1,4,VER,83.461,5.0,2.0,28.478,29.064,25.919,282.0,260.0,297.0,279.0,INTERMEDIATE,3.0,Red Bull Racing,4.0,181.63758389261744,299.0,76.0,52.40604026845637,0.37583892617449666,0.23825503355704697,16.4,24.8,150.0,1.7,-28.021257895074893,-4.362170486964822,2
2,5,VER,82.503,6.0,2.0,28.276,28.735,25.492,280.0,262.0,293.0,296.0,INTERMEDIATE,4.0,Red Bull Racing,3.0,183.57792207792207,307.0,79.0,57.22402597402598,0.4253246753246753,0.21753246753246752,16.2,24.6,177.0,2.0,7.410057250690967,-10.072841265990062,0
3,6,VER,82.116,7.0,2.0,27.984,28.882,25.25,278.0,261.0,289.0,284.0,INTERMEDIATE,5.0,Red Bull Racing,2.0,187.7785234899329,301.0,78.0,58.66778523489933,0.4463087248322148,0.2181208053691275,16.3,24.3,175.0,2.0,0.7959044890810237,-15.18001399463394,2
4,7,VER,83.232,8.0,2.0,28.241,29.497,25.494,280.0,261.0,290.0,281.0,INTERMEDIATE,6.0,Red Bull Racing,2.0,183.34915254237288,294.0,79.0,55.440677966101696,0.4033898305084746,0.20677966101694914,16.5,24.1,130.0,1.8,-43.53501099342221,5.466381815447483,2
5,9,VER,83.698,10.0,2.0,28.262,30.004,25.432,278.0,261.0,290.0,278.0,INTERMEDIATE,8.0,Red Bull Racing,2.0,181.6439628482972,296.0,79.0,56.3312693498452,0.4179566563467492,0.20123839009287925,16.5,24.1,159.0,1.8,-17.583016825580394,-12.499248981464117,2
6,12,VER,78.775,13.0,3.0,27.13,28.012,23.633,282.0,262.0,291.0,283.0,SOFT,2.0,Red Bull Racing,1.0,195.36458333333334,298.0,93.0,60.83680555555556,0.4652777777777778,0.21180555555555555,16.5,24.6,183.0,1.7,12.528496277060725,-15.037713324498817,0
7,13,VER,77.55,14.0,3.0,26.683,27.606,23.261,283.0,263.0,292.0,274.0,SOFT,3.0,Red Bull Racing,1.0,194.4758620689655,297.0,96.0,58.0448275862069,0.4482758620689655,0.23103448275862068,16.5,24.6,157.0,1.8,-17.845196842943054,-5.139339562277055,2
8,21,VER,76.305,22.0,3.0,26.24,26.831,23.234,282.0,259.0,290.0,291.0,SOFT,11.0,Red Bull Racing,1.0,197.38434163701066,296.0,93.0,61.62277580071174,0.47330960854092524,0.199288256227758,17.4,29.5,157.0,2.5,-8.513805397863669,3.2379230120499245,0
9,22,VER,76.085,23.0,3.0,26.184,26.911,22.99,283.0,260.0,291.0,288.0,SOFT,12.0,Red Bull Racing,1.0,200.6411149825784,297.0,95.0,61.0801393728223,0.4912891986062718,0.18815331010452963,17.3,29.7,158.0,2.9,-7.189608261109446,2.8995618126914313,0
10,23,VER,75.783,24.0,3.0,26.068,26.783,22.932,282.0,261.0,291.0,287.0,SOFT,13.0,Red Bull Racing,1.0,202.06825938566553,297.0,97.0,63.33105802047782,0.515358361774744,0.17406143344709898,17.3,29.7,179.0,3.2,13.683645667168223,-7.885590517861194,0
11,24,VER,75.664,25.0,3.0,25.953,26.72,22.991,283.0,261.0,292.0,288.0,SOFT,14.0,Red Bull Racing,1.0,199.54827586206898,298.0,96.0,61.144827586206894,0.4793103448275862,0.21379310344827587,17.3,29.7,154.0,3.2,-11.999147250163425,6.989002011704578,0
