,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,1,VER,86.163,2.0,1.0,28.274,29.543,28.346,MEDIUM,2.0,Red Bull Racing,2.0,239.7459807073955,327.0,66.0,72.04180064308682,0.6559485530546624,0.1607717041800643,29.2,43.1,189.0,1.0,-1.5531547169791553,-2.703736761453291,1
1,2,VER,85.702,3.0,1.0,28.097,29.32,28.285,MEDIUM,3.0,Red Bull Racing,2.0,241.22981366459626,326.0,67.0,73.83850931677019,0.6614906832298136,0.15838509316770186,29.3,43.2,36.0,0.6,-2.7583251593015046,-2.9148700652333894,1
2,3,VER,86.05,4.0,1.0,28.145,29.474,28.431,MEDIUM,4.0,Red Bull Racing,2.0,239.8435582822086,334.0,67.0,73.43865030674847,0.6595092024539877,0.15950920245398773,29.5,43.1,204.0,0.8,-1.9213181634405232,-1.891513869458077,1
3,4,VER,86.176,5.0,1.0,28.155,29.514,28.507,MEDIUM,5.0,Red Bull Racing,2.0,239.84326018808778,335.0,68.0,71.10031347962382,0.6300940438871473,0.16300940438871472,29.5,43.1,250.0,1.2,-1.3920885748823584,-1.678644584967378,1
4,5,VER,86.837,6.0,1.0,28.7,29.662,28.475,MEDIUM,6.0,Red Bull Racing,2.0,239.00625,347.0,45.0,73.796875,0.65625,0.159375,29.5,43.3,145.0,1.6,0.869182977694186,0.5696219242225756,0
5,6,VER,86.368,7.0,1.0,28.166,29.751,28.451,MEDIUM,7.0,Red Bull Racing,2.0,240.1818181818182,331.0,68.0,73.37575757575758,0.6696969696969697,0.16363636363636364,29.6,43.6,160.0,1.8,-1.5506932328327323,-1.4664515408676362,1
6,7,VER,85.99,8.0,1.0,28.075,29.432,28.483,MEDIUM,8.0,Red Bull Racing,2.0,240.19938650306747,335.0,67.0,71.31288343558282,0.6319018404907976,0.18098159509202455,29.7,43.6,0.0,2.4,-1.2804060513754576,-1.008081025413169,1
7,8,VER,86.605,9.0,1.0,28.149,29.927,28.529,MEDIUM,9.0,Red Bull Racing,2.0,238.9311377245509,347.0,64.0,72.76047904191617,0.6437125748502994,0.15269461077844312,29.8,44.1,178.0,0.6,-0.5027996168691546,-0.9299361676315079,0
8,9,VER,86.603,10.0,1.0,28.315,29.78,28.508,MEDIUM,10.0,Red Bull Racing,2.0,239.3181818181818,335.0,69.0,72.64848484848486,0.6393939393939394,0.1606060606060606,29.8,43.9,168.0,2.2,-0.9640122897395498,-0.894017156398973,1
9,10,VER,86.643,11.0,1.0,28.233,29.893,28.517,MEDIUM,11.0,Red Bull Racing,2.0,240.934375,333.0,64.0,73.003125,0.646875,0.15625,29.9,43.9,181.0,1.8,-1.0909200582236038,-0.2519638117058355,1
10,11,VER,86.442,12.0,1.0,28.179,29.813,28.45,MEDIUM,12.0,Red Bull Racing,2.0,238.5700636942675,335.0,64.0,70.10191082802548,0.6210191082802548,0.16560509554140126,29.9,43.3,8.0,1.7,-0.24021485928952577,-0.17068991554602184,0
11,12,VER,86.666,13.0,1.0,28.254,29.907,28.505,MEDIUM,13.0,Red Bull Racing,2.0,237.3949843260188,334.0,65.0,70.60501567398119,0.6050156739811913,0.16300940438871472,29.9,43.7,199.0,1.2,0.07023290183603029,-0.4448400732266875,0
12,13,VER,87.028,14.0,1.0,28.223,30.28,28.525,MEDIUM,14.0,Red Bull Racing,2.0,236.403785488959,345.0,66.0,69.33753943217665,0.6025236593059937,0.17034700315457413,30.1,43.7,205.0,1.5,1.1383626092505896,0.48886480491957535,0
13,14,VER,86.782,15.0,1.0,28.137,30.444,28.201,MEDIUM,15.0,Red Bull Racing,1.0,237.66875,346.0,59.0,74.60625,0.65,0.153125,30.0,43.7,258.0,2.0,0.06249110477294424,1.6856695619887117,2
14,15,VER,86.718,16.0,1.0,28.45,29.91,28.358,MEDIUM,16.0,Red Bull Racing,1.0,239.49216300940438,318.0,66.0,74.63009404388714,0.658307210031348,0.13793103448275862,30.0,43.9,178.0,1.7,-1.5459652390576306,-0.3842767436225472,1
15,16,VER,86.733,17.0,1.0,28.348,29.889,28.496,MEDIUM,17.0,Red Bull Racing,1.0,240.446875,322.0,65.0,72.5125,0.653125,0.153125,29.9,43.7,0.0,1.7,-0.9716198942845352,-0.5595079235012028,1
16,17,VER,86.273,18.0,1.0,28.247,29.668,28.358,MEDIUM,18.0,Red Bull Racing,1.0,240.3498452012384,326.0,66.0,74.45510835913312,0.6625386996904025,0.14551083591331268,29.7,43.5,216.0,1.3,-1.9043284433339613,-0.5543086320276147,1
17,18,VER,86.438,19.0,1.0,28.368,29.832,28.238,MEDIUM,19.0,Red Bull Racing,1.0,238.49844236760126,326.0,65.0,71.30218068535825,0.6261682242990654,0.16199376947040497,29.8,43.6,158.0,1.2,-0.5164023745747759,-0.3355365347660619,1
18,21,VER,85.885,22.0,2.0,28.01,29.546,28.329,HARD,2.0,Red Bull Racing,3.0,239.7515923566879,336.0,68.0,71.06050955414013,0.60828025477707,0.1592356687898089,30.0,43.7,134.0,1.7,-1.8564217717981923,-0.800539122961995,1
19,22,VER,86.159,23.0,2.0,28.131,29.638,28.39,HARD,3.0,Red Bull Racing,2.0,240.15673981191222,331.0,69.0,71.59247648902821,0.6206896551724138,0.15047021943573669,29.9,43.7,178.0,1.3,-1.9334806129322617,-1.3748928737770818,1
20,23,VER,86.327,24.0,2.0,28.187,29.358,28.782,HARD,4.0,Red Bull Racing,2.0,243.0764331210191,333.0,69.0,70.70700636942675,0.6146496815286624,0.16878980891719744,29.9,43.5,179.0,2.0,-1.8861535609342361,-1.0952786190284944,1
21,24,VER,85.914,25.0,2.0,28.052,29.542,28.32,HARD,5.0,Red Bull Racing,1.0,239.26461538461538,341.0,63.0,71.85230769230769,0.6276923076923077,0.16615384615384615,29.9,43.5,177.0,1.7,-1.2806667213828211,-0.06901213697753025,1
22,25,VER,85.786,26.0,2.0,28.257,29.382,28.147,HARD,6.0,Red Bull Racing,1.0,243.656346749226,326.0,67.0,73.78328173374614,0.653250773993808,0.1393188854489164,29.9,43.4,153.0,1.7,-3.46506474952579,-0.635660210780513,1
23,26,VER,85.501,27.0,2.0,28.117,29.266,28.118,HARD,7.0,Red Bull Racing,1.0,241.27619047619046,328.0,66.0,72.53968253968254,0.6507936507936508,0.15555555555555556,29.9,43.4,228.0,1.0,-2.8507252824727343,-0.6363132055668771,1
24,27,VER,85.434,28.0,2.0,28.158,29.202,28.074,HARD,8.0,Red Bull Racing,1.0,241.70219435736678,328.0,67.0,72.49529780564264,0.6269592476489029,0.14733542319749215,29.9,43.3,112.0,0.8,-3.126945155821514,-0.8913200589923785,1
25,28,VER,85.471,29.0,2.0,28.149,29.369,27.953,HARD,9.0,Red Bull Racing,1.0,240.814332247557,328.0,68.0,72.72312703583061,0.6319218241042345,0.14332247557003258,29.9,42.9,163.0,1.0,-3.06723460303246,-0.4255432366813359,1
26,29,VER,85.398,30.0,2.0,28.15,29.213,28.035,HARD,10.0,Red Bull Racing,1.0,246.640625,328.0,66.0,73.203125,0.65,0.15,29.7,42.5,317.0,0.8,-4.14523237575877,-0.1341389409096816,1
27,30,VER,85.502,31.0,2.0,28.161,29.37,27.971,HARD,11.0,Red Bull Racing,1.0,241.87577639751552,328.0,68.0,72.55900621118012,0.6304347826086957,0.14285714285714285,29.8,42.8,193.0,1.3,-3.15997827193404,-0.2594149809212268,1
28,31,VER,85.41,32.0,2.0,28.151,29.284,27.975,HARD,12.0,Red Bull Racing,1.0,242.0846394984326,329.0,66.0,74.29780564263324,0.6551724137931034,0.15047021943573669,29.8,42.6,136.0,1.1,-3.3115084309561964,-0.06863678469056239,1
29,32,VER,85.24,33.0,2.0,28.057,29.201,27.982,HARD,13.0,Red Bull Racing,1.0,242.62783171521036,329.0,67.0,72.96440129449839,0.6472491909385113,0.15857605177993528,29.8,42.4,242.0,1.3,-3.3972733761858978,0.3228798547549921,1
30,33,VER,85.683,34.0,2.0,28.111,29.501,28.071,HARD,14.0,Red Bull Racing,1.0,240.7246835443038,330.0,67.0,71.74367088607595,0.6265822784810127,0.1518987341772152,29.8,42.5,164.0,1.5,-2.319192236346824,0.22730419547988623,1
31,34,VER,85.815,35.0,2.0,28.179,29.472,28.164,HARD,15.0,Red Bull Racing,1.0,238.58513931888544,330.0,66.0,71.3467492260062,0.6222910216718266,0.15479876160990713,29.8,42.6,232.0,0.8,-1.5859923654316899,-0.05850818626681883,1
32,35,VER,85.598,36.0,2.0,28.04,29.439,28.119,HARD,16.0,Red Bull Racing,1.0,241.7324840764331,330.0,67.0,70.93630573248407,0.6114649681528662,0.14968152866242038,29.9,42.5,196.0,1.2,-2.529095746031927,0.5078551260077997,1
33,36,VER,85.683,37.0,2.0,28.074,29.485,28.124,HARD,17.0,Red Bull Racing,1.0,241.3238993710692,330.0,68.0,73.27987421383648,0.6383647798742138,0.14465408805031446,30.0,42.5,208.0,1.8,-2.8422767343613153,0.9785245885051016,1
34,37,VER,85.585,38.0,2.0,28.067,29.469,28.049,HARD,18.0,Red Bull Racing,1.0,242.6772151898734,332.0,67.0,72.84177215189874,0.6234177215189873,0.13291139240506328,30.0,42.8,186.0,1.6,-3.1652826980600284,0.9974074471301847,1
35,38,VER,85.486,39.0,2.0,28.053,29.353,28.08,HARD,19.0,Red Bull Racing,1.0,240.00632911392404,331.0,65.0,72.84493670886076,0.6329113924050633,0.16139240506329114,30.0,42.8,145.0,1.1,-2.242263273403185,0.8052523438236875,1
36,39,VER,85.901,40.0,2.0,28.185,29.481,28.235,HARD,20.0,Red Bull Racing,1.0,243.42443729903536,331.0,66.0,71.7524115755627,0.6270096463022508,0.15112540192926044,30.0,42.8,205.0,1.7,-2.4293034414484596,1.1237883121889138,1
37,40,VER,85.779,41.0,2.0,28.079,29.543,28.157,HARD,21.0,Red Bull Racing,1.0,240.94670846394985,339.0,67.0,71.08463949843261,0.6144200626959248,0.15673981191222572,30.1,42.9,187.0,2.0,-1.8062860988874783,1.6361049169407402,1
38,41,VER,85.912,42.0,2.0,28.057,29.562,28.293,HARD,22.0,Red Bull Racing,1.0,239.7629179331307,332.0,67.0,69.69604863221885,0.601823708206687,0.16109422492401215,30.2,42.9,190.0,1.8,-1.3044687599334555,1.5131954422169485,1
39,42,VER,85.994,43.0,2.0,28.178,29.666,28.15,HARD,23.0,Red Bull Racing,1.0,241.85802469135803,332.0,67.0,70.03395061728395,0.6080246913580247,0.14814814814814814,30.2,42.5,168.0,1.6,-1.8205236487087797,1.8089892155128962,1
40,43,VER,85.751,44.0,2.0,28.03,29.503,28.218,HARD,24.0,Red Bull Racing,1.0,239.91346153846155,333.0,67.0,68.23076923076923,0.592948717948718,0.16025641025641027,30.1,42.5,144.0,1.6,-1.2457561485772657,1.5477118037535003,1
41,44,VER,85.916,45.0,2.0,28.045,29.693,28.178,HARD,25.0,Red Bull Racing,1.0,243.41935483870967,333.0,66.0,71.16774193548387,0.632258064516129,0.14838709677419354,30.0,41.7,161.0,1.1,-2.28198180369275,1.882025339937622,1
42,45,VER,86.185,46.0,2.0,28.067,29.921,28.197,HARD,26.0,Red Bull Racing,1.0,239.93710691823898,333.0,66.0,69.61320754716981,0.6132075471698113,0.16352201257861634,30.0,41.6,181.0,1.5,-0.8054685544971661,2.1400218556313146,2
43,46,VER,86.137,47.0,2.0,28.058,29.565,28.514,HARD,27.0,Red Bull Racing,1.0,242.61635220125785,334.0,70.0,68.4245283018868,0.5911949685534591,0.16037735849056603,30.0,41.2,176.0,1.1,-1.5200085972550175,1.6421245870354477,1
44,47,VER,87.235,48.0,2.0,28.459,30.06,28.716,HARD,28.0,Red Bull Racing,1.0,237.22560975609755,333.0,67.0,65.51829268292683,0.5,0.14939024390243902,30.1,41.2,161.0,1.7,1.3621994940492175,2.029344004410935,2
45,48,VER,87.907,49.0,2.0,28.567,30.249,29.091,HARD,29.0,Red Bull Racing,1.0,233.98219584569733,329.0,66.0,63.17210682492582,0.5192878338278932,0.17804154302670624,30.0,41.0,179.0,1.2,3.542391833768724,1.37285142603771,2
46,49,VER,88.393,50.0,2.0,28.738,30.474,29.181,HARD,30.0,Red Bull Racing,1.0,234.96615384615384,325.0,65.0,64.0,0.5323076923076923,0.16615384615384615,30.0,40.8,152.0,1.6,3.656632377299355,1.6017473550262045,2
47,50,VER,87.525,51.0,2.0,28.415,30.353,28.757,HARD,31.0,Red Bull Racing,1.0,237.3060606060606,327.0,63.0,66.63939393939394,0.5696969696969697,0.1484848484848485,30.0,40.8,161.0,1.7,1.6806493502142954,2.4732014760966554,2
48,53,GAS,88.696,2.0,1.0,28.782,30.575,29.339,MEDIUM,2.0,Alpine,17.0,234.971875,329.0,67.0,73.2875,0.628125,0.165625,29.2,43.1,189.0,1.0,2.3134042378316844,-3.6562162078311924,0
49,54,GAS,87.916,3.0,1.0,28.714,30.06,29.142,MEDIUM,3.0,Alpine,17.0,236.3939393939394,329.0,68.0,73.64545454545454,0.6363636363636364,0.15757575757575756,29.3,43.2,36.0,0.6,0.8860727542966346,-3.850627588743757,0
50,55,GAS,87.472,4.0,1.0,28.432,30.029,29.011,MEDIUM,4.0,Alpine,17.0,237.2012195121951,340.0,67.0,73.63414634146342,0.6341463414634146,0.14329268292682926,29.5,43.1,204.0,0.8,0.17245299249612073,-2.2782600376014357,0
51,56,GAS,87.694,5.0,1.0,28.291,30.155,29.248,MEDIUM,5.0,Alpine,17.0,237.70897832817337,356.0,70.0,73.17647058823529,0.628482972136223,0.16718266253869968,29.5,43.1,250.0,1.2,0.8842443908938529,-1.8438856617953967,0
52,57,GAS,87.324,6.0,1.0,28.241,30.047,29.036,MEDIUM,6.0,Alpine,17.0,240.0632530120482,337.0,68.0,74.20481927710843,0.6325301204819277,0.14156626506024098,29.7,43.4,164.0,1.7,-0.7731922577624611,-1.5201640039687823,1
53,58,GAS,87.21,7.0,1.0,28.18,29.932,29.098,MEDIUM,7.0,Alpine,17.0,237.54128440366972,338.0,65.0,74.33333333333333,0.6391437308868502,0.14067278287461774,29.6,43.6,160.0,1.8,-0.21545117155544644,-1.579747279896899,0
54,59,GAS,87.24,8.0,1.0,28.0,30.157,29.083,MEDIUM,8.0,Alpine,17.0,239.15588235294118,338.0,67.0,75.30588235294118,0.6529411764705882,0.15,29.7,43.6,162.0,1.0,-0.6337518760578865,-1.6428791575339536,0
55,60,GAS,87.366,9.0,1.0,28.124,29.976,29.266,MEDIUM,9.0,Alpine,17.0,236.25525525525526,338.0,63.0,73.51651651651652,0.6246246246246246,0.14414414414414414,29.8,44.1,178.0,0.6,0.5149301018921044,-1.7472048611720044,0
56,63,GAS,87.431,12.0,2.0,28.524,29.851,29.056,HARD,5.0,Alpine,19.0,236.7058823529412,317.0,69.0,77.79256965944272,0.6904024767801857,0.13003095975232198,29.8,43.1,172.0,1.2,-1.2542052702570055,-2.373596322753947,1
57,64,GAS,87.368,13.0,2.0,28.44,29.892,29.036,HARD,6.0,Alpine,18.0,237.37854889589906,320.0,65.0,75.31230283911673,0.6466876971608833,0.13249211356466878,29.9,43.7,199.0,1.2,-0.7038297042491535,-1.814182693396178,0
58,65,GAS,87.348,14.0,2.0,28.394,30.051,28.903,HARD,7.0,Alpine,18.0,237.35576923076923,322.0,66.0,76.40064102564102,0.6602564102564102,0.11858974358974358,30.0,43.7,258.0,2.0,-1.1140525541786903,-0.9424149459826714,1
59,66,GAS,87.363,15.0,2.0,28.462,30.093,28.808,HARD,8.0,Alpine,18.0,236.4060606060606,323.0,68.0,74.72727272727273,0.6515151515151515,0.1393939393939394,30.0,43.5,156.0,0.8,-0.4150238977902324,-1.6193029494896793,0
60,67,GAS,87.088,16.0,2.0,28.289,30.067,28.732,HARD,9.0,Alpine,18.0,239.8801261829653,325.0,66.0,76.50788643533123,0.668769716088328,0.13249211356466878,29.9,43.7,0.0,1.7,-1.5203623147379253,-1.2496087492317114,1
61,68,GAS,87.076,17.0,2.0,28.286,29.953,28.837,HARD,10.0,Alpine,18.0,236.65432098765433,327.0,66.0,73.66666666666667,0.6296296296296297,0.1388888888888889,29.8,43.5,268.0,1.5,-0.404805074654065,-1.1022928213339518,0
62,69,GAS,87.053,18.0,2.0,28.315,30.045,28.693,HARD,11.0,Alpine,18.0,238.38297872340425,327.0,66.0,75.55927051671732,0.6504559270516718,0.12462006079027356,29.8,43.6,158.0,1.2,-1.1828559299246462,-1.246792273607723,1
63,70,GAS,87.136,19.0,2.0,28.422,30.088,28.626,HARD,12.0,Alpine,18.0,239.21296296296296,328.0,67.0,75.48765432098766,0.6604938271604939,0.12962962962962962,29.9,44.3,201.0,0.8,-1.1562108650173606,-1.45352769318803,1
64,71,GAS,87.035,20.0,2.0,28.17,30.107,28.758,HARD,13.0,Alpine,18.0,239.55076923076922,334.0,66.0,75.32923076923078,0.6369230769230769,0.13846153846153847,30.0,44.3,82.0,1.2,-0.9992472014510109,-0.8956997536125546,1
65,72,GAS,87.706,21.0,2.0,28.31,30.354,29.042,HARD,14.0,Alpine,17.0,234.55421686746988,331.0,66.0,74.36746987951807,0.6325301204819277,0.13253012048192772,30.0,44.0,145.0,1.3,0.7479901816462766,-1.0059313170225137,0
66,73,GAS,87.219,22.0,2.0,28.315,30.023,28.881,HARD,15.0,Alpine,17.0,237.16398713826368,326.0,67.0,74.34405144694534,0.6559485530546624,0.13504823151125403,30.0,43.7,134.0,1.7,-0.47161989716804065,-0.702832199056541,1
67,74,GAS,87.454,23.0,2.0,28.367,30.178,28.909,HARD,16.0,Alpine,17.0,235.7378048780488,326.0,67.0,72.30182926829268,0.6189024390243902,0.1524390243902439,29.9,43.6,210.0,1.5,0.6891967604751321,-0.8168644023840318,0
68,75,GAS,87.06,24.0,2.0,28.144,30.16,28.756,HARD,17.0,Alpine,17.0,240.76323987538942,326.0,67.0,75.1246105919003,0.6510903426791277,0.12149532710280374,29.9,43.5,179.0,2.0,-1.6125896764170409,-0.16326745163566095,1
69,76,GAS,87.223,25.0,2.0,28.176,30.119,28.928,HARD,18.0,Alpine,16.0,237.96119402985076,327.0,67.0,74.0179104477612,0.6388059701492538,0.13432835820895522,29.8,43.6,156.0,1.6,-0.45982000327125844,-0.8190447800986523,0
70,77,GAS,87.59,26.0,2.0,28.496,30.15,28.944,HARD,19.0,Alpine,15.0,236.09717868338558,327.0,58.0,75.04388714733543,0.658307210031348,0.12852664576802508,29.9,43.4,153.0,1.7,0.65194620494487,0.25150880820563504,0
