,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,4,VER,90.273,5.0,1.0,33.31,30.26,26.703,231.0,274.0,274.0,291.0,MEDIUM,8.0,Red Bull Racing,1.0,213.58823529411765,295.0,91.0,65.10882352941177,0.5029411764705882,0.1588235294117647,31.5,37.3,112.0,0.6,-30.019197035115027,-33.26283868141652,1
1,5,VER,89.409,6.0,1.0,33.139,29.969,26.301,226.0,275.0,275.0,298.0,MEDIUM,9.0,Red Bull Racing,1.0,216.55059523809524,300.0,92.0,66.23809523809524,0.5178571428571429,0.15773809523809523,31.5,37.3,0.0,0.4,-54.03328922250707,-141.74445370164474,0
2,6,VER,89.083,7.0,1.0,32.85,29.847,26.386,231.0,275.0,275.0,299.0,MEDIUM,10.0,Red Bull Racing,1.0,216.6656804733728,301.0,95.0,67.06508875739645,0.5266272189349113,0.15976331360946747,31.5,37.2,178.0,0.6,-0.21168365016751095,29.523153082566147,2
3,7,VER,89.362,8.0,1.0,33.037,29.899,26.426,229.0,275.0,275.0,301.0,MEDIUM,11.0,Red Bull Racing,1.0,217.08761329305136,301.0,93.0,66.65558912386707,0.525679758308157,0.1540785498489426,31.5,37.4,0.0,1.3,-49.420215828480146,-143.1235863334612,0
4,9,VER,89.457,10.0,1.0,33.02,29.859,26.578,229.0,276.0,274.0,300.0,MEDIUM,13.0,Red Bull Racing,1.0,215.20420420420422,301.0,95.0,64.36636636636636,0.4954954954954955,0.15015015015015015,31.5,36.8,186.0,1.8,2.3867121687622346,37.65127273493038,2
5,10,VER,89.357,11.0,1.0,33.039,29.873,26.445,228.0,276.0,275.0,302.0,MEDIUM,14.0,Red Bull Racing,1.0,216.60458452722062,301.0,93.0,64.57879656160459,0.49283667621776506,0.1518624641833811,31.5,36.9,146.0,1.2,-8.807953193259875,-3.0089505815384174,1
6,12,VER,89.015,13.0,1.0,32.728,29.829,26.458,230.0,277.0,274.0,300.0,MEDIUM,16.0,Red Bull Racing,1.0,215.1371951219512,301.0,93.0,65.03963414634147,0.5,0.14939024390243902,31.5,36.9,157.0,0.8,-7.34949527264098,8.284315716535405,1
7,13,VER,89.123,14.0,1.0,32.952,29.835,26.336,226.0,275.0,275.0,301.0,MEDIUM,17.0,Red Bull Racing,1.0,217.74777448071217,301.0,93.0,66.03560830860535,0.5252225519287834,0.1632047477744807,31.4,37.3,138.0,1.7,-12.792515385945658,-10.867824186590243,1
8,14,VER,88.712,15.0,1.0,32.868,29.69,26.154,231.0,277.0,275.0,300.0,MEDIUM,18.0,Red Bull Racing,1.0,218.6981707317073,301.0,93.0,67.0640243902439,0.5335365853658537,0.1402439024390244,31.5,36.8,156.0,0.6,-7.548540753478882,6.998028539020684,1
9,18,VER,89.076,19.0,2.0,32.859,29.801,26.416,227.0,272.0,276.0,295.0,MEDIUM,5.0,Red Bull Racing,1.0,218.00882352941176,299.0,94.0,65.95294117647059,0.5176470588235295,0.14411764705882352,31.3,36.8,0.0,0.3,-56.60403908692742,-141.19183056542917,0
10,19,VER,88.454,20.0,2.0,32.658,29.618,26.178,229.0,274.0,275.0,298.0,MEDIUM,6.0,Red Bull Racing,1.0,219.04142011834318,301.0,94.0,66.40532544378698,0.5029585798816568,0.14792899408284024,31.3,36.8,193.0,0.6,2.6726923995717637,44.756308296450314,2
11,20,VER,88.106,21.0,2.0,32.545,29.436,26.125,233.0,277.0,276.0,299.0,MEDIUM,7.0,Red Bull Racing,1.0,220.7012195121951,301.0,93.0,66.65853658536585,0.4969512195121951,0.15548780487804878,31.3,36.7,134.0,1.2,-13.138807120057953,-15.151711298217561,1
12,21,VER,88.024,22.0,2.0,32.535,29.487,26.002,230.0,280.0,276.0,302.0,MEDIUM,8.0,Red Bull Racing,1.0,218.49562682215745,303.0,95.0,65.94460641399417,0.4956268221574344,0.14868804664723032,31.2,36.5,161.0,0.5,-2.105136598593862,11.304106372147093,1
13,23,VER,87.814,24.0,2.0,32.439,29.413,25.962,232.0,277.0,276.0,303.0,MEDIUM,10.0,Red Bull Racing,1.0,219.20606060606062,303.0,95.0,66.55454545454545,0.48484848484848486,0.16666666666666666,31.2,36.7,133.0,0.8,-9.53772658276913,-16.96963590282474,1
14,24,VER,87.775,25.0,2.0,32.404,29.441,25.93,234.0,278.0,276.0,302.0,MEDIUM,11.0,Red Bull Racing,1.0,220.710843373494,302.0,95.0,68.64759036144578,0.5090361445783133,0.1355421686746988,31.2,36.7,173.0,0.6,1.3560539909924858,23.4270524785499,1
15,25,VER,87.768,26.0,2.0,32.34,29.44,25.988,231.0,280.0,277.0,303.0,MEDIUM,12.0,Red Bull Racing,1.0,220.46017699115043,304.0,94.0,66.952802359882,0.49852507374631266,0.13569321533923304,31.3,36.5,180.0,1.0,5.605913468338006,29.602115846647855,2
16,28,VER,87.588,29.0,2.0,32.262,29.454,25.872,232.0,280.0,277.0,304.0,MEDIUM,15.0,Red Bull Racing,1.0,220.91265060240963,304.0,93.0,67.32228915662651,0.5060240963855421,0.14457831325301204,31.3,37.1,213.0,1.2,14.816464749571598,61.91190424416812,2
17,29,VER,87.515,30.0,2.0,32.27,29.422,25.823,230.0,277.0,277.0,305.0,MEDIUM,16.0,Red Bull Racing,1.0,219.87575757575758,305.0,93.0,66.28484848484848,0.5181818181818182,0.15757575757575756,31.3,36.9,131.0,1.0,-6.949594870196467,-20.12850396425613,1
18,30,VER,86.966,31.0,2.0,31.988,29.418,25.56,233.0,278.0,278.0,304.0,MEDIUM,17.0,Red Bull Racing,1.0,224.16875,304.0,95.0,69.28125,0.521875,0.153125,31.4,37.2,0.0,1.3,-42.65245167995089,-145.30553506679504,0
19,35,VER,86.255,36.0,3.0,31.836,28.984,25.435,238.0,276.0,278.0,298.0,HARD,2.0,Red Bull Racing,1.0,225.8662613981763,302.0,94.0,71.64133738601824,0.5531914893617021,0.1398176291793313,31.3,36.3,162.0,1.7,-9.319713064463071,14.494326524128835,1
20,36,VER,86.081,37.0,3.0,31.873,28.959,25.249,236.0,276.0,278.0,299.0,HARD,3.0,Red Bull Racing,1.0,222.48456790123456,302.0,96.0,71.06172839506173,0.5709876543209876,0.13271604938271606,31.2,36.1,158.0,0.6,-7.838814229083282,9.132225945794815,1
21,37,VER,85.835,38.0,3.0,31.562,28.875,25.398,239.0,276.0,278.0,300.0,HARD,4.0,Red Bull Racing,1.0,226.41691842900303,303.0,94.0,71.57099697885197,0.5770392749244713,0.1540785498489426,31.1,36.1,203.0,1.5,5.981044146202477,55.17548345394272,2
22,38,VER,85.815,39.0,3.0,31.557,28.983,25.275,238.0,276.0,278.0,302.0,HARD,5.0,Red Bull Racing,1.0,226.2549019607843,304.0,94.0,72.33333333333333,0.5686274509803921,0.1437908496732026,31.2,36.3,132.0,0.8,-10.809900046440411,-19.324811845922444,1
23,41,VER,85.827,42.0,3.0,31.653,28.967,25.207,236.0,277.0,281.0,304.0,HARD,8.0,Red Bull Racing,1.0,226.43653250773994,307.0,94.0,70.23839009287926,0.5820433436532507,0.15479876160990713,31.2,36.1,195.0,0.6,12.561410619796396,44.15403784478129,2
24,42,VER,85.88,43.0,3.0,31.679,29.108,25.093,237.0,276.0,280.0,305.0,HARD,9.0,Red Bull Racing,1.0,224.0378548895899,308.0,93.0,71.20504731861199,0.5709779179810726,0.14195583596214512,31.2,36.0,145.0,0.5,-1.1918137935997446,-7.072468897597747,1
25,43,VER,85.475,44.0,3.0,31.56,28.895,25.02,236.0,277.0,280.0,298.0,HARD,10.0,Red Bull Racing,1.0,226.77170418006432,302.0,96.0,73.10932475884245,0.5980707395498392,0.14469453376205788,31.1,35.6,0.0,0.6,-50.18842257527523,-143.374466527161,0
26,44,VER,85.621,45.0,3.0,31.598,28.991,25.032,238.0,278.0,282.0,301.0,HARD,11.0,Red Bull Racing,1.0,225.06542056074767,305.0,93.0,72.32710280373831,0.5919003115264797,0.14641744548286603,31.1,35.6,148.0,0.0,-4.8911810856135505,-3.3160320494234052,1
27,45,VER,85.989,46.0,3.0,31.67,29.229,25.09,236.0,277.0,280.0,307.0,HARD,12.0,Red Bull Racing,1.0,223.70347003154575,308.0,90.0,71.78233438485805,0.5962145110410094,0.1640378548895899,31.1,35.5,142.0,1.0,-0.4904184612921478,-10.21018586239653,1
