,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,tsne_clusters_id
0,1,VER,83.859,2.0,1.0,29.75,32.647,21.462,MEDIUM,2.0,Red Bull Racing,1.0,180.78658536585365,318.0,61.0,52.896341463414636,0.3719512195121951,0.22865853658536586,24.5,48.1,298.0,1.2,9.258521,31.245424,2
1,2,VER,83.573,3.0,1.0,29.517,32.562,21.494,MEDIUM,3.0,Red Bull Racing,1.0,186.04501607717043,319.0,60.0,54.967845659163984,0.3858520900321543,0.2090032154340836,24.6,48.6,301.0,0.6,8.208784,35.660534,2
2,3,VER,83.708,4.0,1.0,29.481,32.702,21.525,MEDIUM,4.0,Red Bull Racing,1.0,183.56211180124222,321.0,61.0,53.590062111801245,0.3695652173913043,0.2236024844720497,24.8,48.2,311.0,2.2,7.178012,19.541246,2
3,5,VER,83.339,6.0,1.0,29.47,32.504,21.365,MEDIUM,6.0,Red Bull Racing,1.0,181.2305194805195,320.0,61.0,52.33441558441559,0.36688311688311687,0.23376623376623376,24.9,47.5,285.0,2.0,6.146374,20.891382,2
4,6,VER,83.453,7.0,1.0,29.454,32.574,21.425,MEDIUM,7.0,Red Bull Racing,1.0,180.05280528052805,322.0,62.0,53.537953795379536,0.3564356435643564,0.24092409240924093,25.0,47.0,290.0,2.4,5.5973954,20.3978,2
5,8,VER,83.218,9.0,1.0,29.26,32.328,21.63,MEDIUM,9.0,Red Bull Racing,1.0,184.91054313099042,322.0,61.0,54.73801916932907,0.3993610223642173,0.21725239616613418,25.3,47.0,294.0,2.2,6.349714,18.566776,2
6,9,VER,83.276,10.0,1.0,29.329,32.415,21.532,MEDIUM,10.0,Red Bull Racing,1.0,185.88958990536278,322.0,60.0,55.08832807570978,0.3911671924290221,0.22712933753943218,25.4,47.2,317.0,2.0,5.5024276,18.679852,2
7,10,VER,83.626,11.0,1.0,29.57,32.439,21.617,MEDIUM,11.0,Red Bull Racing,1.0,183.5875,322.0,61.0,55.0,0.390625,0.1875,25.4,47.2,143.0,2.0,6.9791565,41.00324,2
8,11,VER,83.644,12.0,1.0,29.507,32.478,21.659,MEDIUM,12.0,Red Bull Racing,1.0,182.80191693290735,323.0,60.0,54.76996805111821,0.3961661341853035,0.22364217252396165,25.4,47.4,274.0,3.7,7.6685286,8.972126,0
9,12,VER,83.792,13.0,1.0,29.563,32.587,21.642,MEDIUM,13.0,Red Bull Racing,1.0,181.30246913580248,323.0,59.0,53.867283950617285,0.37037037037037035,0.22530864197530864,25.4,47.4,12.0,1.7,9.858371,20.090122,2
10,13,VER,83.695,14.0,1.0,29.488,32.526,21.681,MEDIUM,14.0,Red Bull Racing,1.0,181.90384615384616,323.0,60.0,54.82692307692308,0.391025641025641,0.20833333333333334,25.5,47.6,193.0,1.1,9.3941555,37.922237,2
11,14,VER,83.714,15.0,1.0,29.531,32.462,21.721,MEDIUM,15.0,Red Bull Racing,1.0,181.9741935483871,322.0,57.0,53.535483870967745,0.3741935483870968,0.24838709677419354,25.6,47.4,227.0,0.6,12.7423315,30.388199,2
12,15,VER,83.585,16.0,1.0,29.459,32.474,21.652,MEDIUM,16.0,Red Bull Racing,1.0,182.87138263665594,321.0,59.0,53.138263665594856,0.3729903536977492,0.22186495176848875,25.7,47.4,301.0,1.2,10.159716,32.02476,2
13,16,VER,83.644,17.0,1.0,29.509,32.498,21.637,MEDIUM,17.0,Red Bull Racing,1.0,180.7051282051282,321.0,59.0,53.85897435897436,0.3942307692307692,0.23717948717948717,25.7,47.5,190.0,1.2,10.929988,31.155737,2
14,17,VER,83.927,18.0,1.0,29.527,32.511,21.889,MEDIUM,18.0,Red Bull Racing,1.0,181.6,321.0,57.0,55.3672131147541,0.4,0.22295081967213115,25.6,47.1,187.0,1.1,17.61137,32.04129,2
