Pos.,Team,Driver,Time (sec),Lap,Points
1,McLaren,Piastri,1.99,43,25
2,AlphaTauri,Tsunoda,2.20,10,18
3,Ferrari,Sainz,2.25,3,15
4,Red Bull,Perez,2.45,26,12
5,AlphaTauri,Tsunoda,2.49,21,
6,Mercedes,Russell,2.58,15,10
7,Williams,Sargeant,2.60,15,8
8,Williams,Albon,2.61,16,6
9,Alfa Romeo,Bottas,2.63,24,4
10,Red Bull,Verstappen,2.71,26,2
11,Haas,Magnussen,2.89,14,1
12,Alpine,Ocon,2.95,20,
13,Mercedes,Russell,2.99,26,
14,Haas,Magnussen,3.07,26,
15,Alfa Romeo,Zhou,3.08,26,
16,AlphaTauri,Ricciardo,3.16,17,
17,Ferrari,Sainz,3.17,26,
18,Alpine,Gasly,3.25,17,
19,Haas,Hulkenberg,3.33,12,
20,Aston Martin,Stroll,3.35,26,
21,Haas,Hulkenberg,3.62,26,
22,Aston Martin,Stroll,3.65,3,
23,Mercedes,Hamilton,3.77,26,
24,Ferrari,Leclerc,3.91,21,
25,Aston Martin,Alonso,4.02,26,
26,McLaren,Piastri,4.41,16,
27,Mercedes,Hamilton,6.36,17,
28,Red Bull,Verstappen,7.74,16,
29,Aston Martin,Alonso,9.46,1,
30,Red Bull,Perez,11.48,1,
31,Alfa Romeo,Bottas,24.73,1,
