,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,tsne_clusters_id
0,6,VER,100.785,7.0,1.0,29.256,33.44,38.089,MEDIUM,7.0,Red Bull Racing,1.0,219.4621409921671,325.0,85.0,67.73107049608355,0.5718015665796344,0.18798955613577023,18.0,18.2,223.0,2.4,-22.613285,26.627058,1
1,7,VER,100.142,8.0,1.0,29.033,33.306,37.803,MEDIUM,8.0,Red Bull Racing,1.0,220.84675324675325,326.0,86.0,67.0025974025974,0.5402597402597402,0.18441558441558442,18.1,18.1,206.0,2.7,-22.920012,25.692974,1
2,8,VER,99.669,9.0,1.0,28.653,33.163,37.853,MEDIUM,9.0,Red Bull Racing,1.0,219.74114441416893,327.0,87.0,67.2125340599455,0.5504087193460491,0.18528610354223432,18.1,18.1,197.0,2.4,-23.289446,25.448391,1
3,9,VER,99.484,10.0,1.0,28.549,33.175,37.76,MEDIUM,10.0,Red Bull Racing,1.0,222.26829268292684,326.0,88.0,66.78319783197831,0.5447154471544715,0.1842818428184282,18.1,18.0,224.0,2.5,-23.853952,25.050104,1
4,10,VER,98.763,11.0,1.0,28.393,32.747,37.623,MEDIUM,11.0,Red Bull Racing,1.0,223.33595800524935,327.0,85.0,69.01837270341207,0.5879265091863517,0.1837270341207349,18.1,17.8,244.0,3.2,-0.016935961,-5.460806,2
5,11,VER,98.773,12.0,1.0,28.375,32.794,37.604,MEDIUM,12.0,Red Bull Racing,1.0,222.7882037533512,325.0,87.0,68.63002680965147,0.5951742627345844,0.18230563002680966,18.1,17.8,228.0,2.5,-0.30210006,-6.476442,2
6,12,VER,98.759,13.0,1.0,28.319,32.875,37.565,MEDIUM,13.0,Red Bull Racing,1.0,225.13333333333333,326.0,82.0,68.56,0.6106666666666667,0.19733333333333333,18.1,17.8,235.0,0.8,5.513422,-4.548123,2
7,14,VER,99.477,15.0,1.0,28.525,33.315,37.637,MEDIUM,15.0,Red Bull Racing,1.0,220.07894736842104,326.0,78.0,67.8157894736842,0.5973684210526315,0.18157894736842106,18.2,17.9,233.0,2.2,-9.3135395,10.531795,1
8,17,VER,98.348,18.0,2.0,28.642,32.568,37.138,HARD,2.0,Red Bull Racing,9.0,224.48360655737704,333.0,86.0,68.47267759562841,0.6065573770491803,0.19672131147540983,18.1,17.8,210.0,3.0,1.4459434,-2.8369987,2
9,18,VER,98.335,19.0,2.0,28.252,32.76,37.323,HARD,3.0,Red Bull Racing,9.0,226.60054347826087,344.0,84.0,68.08152173913044,0.592391304347826,0.1983695652173913,18.1,17.8,213.0,2.5,9.386283,-0.26753584,2
10,20,VER,97.88,21.0,2.0,28.124,32.695,37.061,HARD,5.0,Red Bull Racing,7.0,227.12121212121212,333.0,85.0,68.66666666666667,0.6088154269972452,0.18732782369146006,18.0,17.9,231.0,3.2,2.234097,-2.5363328,2
11,21,VER,98.605,22.0,2.0,28.321,33.275,37.009,HARD,6.0,Red Bull Racing,7.0,225.36986301369862,358.0,83.0,66.03561643835616,0.5671232876712329,0.22465753424657534,18.0,17.7,230.0,2.2,18.442493,12.4104,2
12,22,VER,97.988,23.0,2.0,28.265,32.91,36.813,HARD,7.0,Red Bull Racing,6.0,225.39071038251367,350.0,86.0,65.71311475409836,0.5765027322404371,0.2103825136612022,18.0,17.8,204.0,2.5,19.559628,14.093394,2
13,23,VER,98.482,24.0,2.0,28.259,33.422,36.801,HARD,8.0,Red Bull Racing,5.0,224.25065963060686,357.0,83.0,64.02110817941953,0.554089709762533,0.23746701846965698,18.0,17.8,239.0,3.2,19.29244,15.404285,2
14,24,VER,98.943,25.0,2.0,28.343,33.334,37.266,HARD,9.0,Red Bull Racing,4.0,225.8,330.0,75.0,70.46111111111111,0.6194444444444445,0.18333333333333332,18.0,17.9,237.0,2.7,-7.358447,-4.0008173,0
15,28,VER,100.938,29.0,3.0,29.952,33.716,37.27,HARD,3.0,Red Bull Racing,5.0,217.34656084656083,336.0,80.0,62.044973544973544,0.5238095238095238,0.20899470899470898,17.9,17.7,197.0,1.7,-23.34969,11.416838,1
16,29,VER,98.469,30.0,3.0,28.556,32.814,37.099,HARD,4.0,Red Bull Racing,5.0,228.048128342246,339.0,83.0,67.68716577540107,0.5909090909090909,0.20588235294117646,17.9,17.7,303.0,2.4,10.021111,-0.93372715,2
17,30,VER,97.748,31.0,3.0,28.515,32.897,36.336,HARD,5.0,Red Bull Racing,4.0,226.06849315068493,353.0,84.0,66.69315068493151,0.5945205479452055,0.2054794520547945,18.0,17.7,62.0,1.6,16.914095,9.695597,2
18,31,VER,96.603,32.0,3.0,27.789,32.032,36.782,HARD,6.0,Red Bull Racing,4.0,227.8288043478261,333.0,90.0,70.13586956521739,0.6168478260869565,0.18206521739130435,18.0,17.8,21.0,1.6,21.149408,-17.388107,2
