,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,3,VER,83.391,4.0,1.0,28.9,18.326,36.165,280.0,296.0,288.0,303.0,MEDIUM,4.0,Red Bull Racing,3.0,226.0506329113924,308.0,94.0,71.4367088607595,0.620253164556962,0.16455696202531644,17.8,34.4,0.0,0.8,62.12790888631577,126.8302204258274,0
1,4,VER,83.104,5.0,1.0,28.935,18.347,35.822,273.0,294.0,290.0,286.0,MEDIUM,5.0,Red Bull Racing,3.0,226.00946372239747,306.0,90.0,71.62145110410094,0.6088328075709779,0.1608832807570978,17.8,34.0,163.0,1.2,-14.248200298995261,-26.836842929195484,1
2,5,VER,82.843,6.0,1.0,28.986,17.951,35.906,276.0,322.0,304.0,296.0,MEDIUM,6.0,Red Bull Racing,3.0,227.50479233226838,328.0,84.0,72.42492012779553,0.6198083067092651,0.16613418530351437,17.7,33.7,157.0,1.0,22.2312226153871,-31.489317968794218,1
3,9,VER,87.827,10.0,2.0,33.323,18.633,35.871,276.0,288.0,288.0,242.0,HARD,2.0,Red Bull Racing,2.0,215.35735735735736,303.0,60.0,71.27927927927928,0.6006006006006006,0.18018018018018017,18.0,32.9,161.0,1.2,-71.07475865593925,-5.456092097761618,1
4,10,VER,83.46,11.0,2.0,29.054,18.556,35.85,270.0,292.0,289.0,288.0,HARD,3.0,Red Bull Racing,2.0,225.81645569620252,303.0,90.0,74.67721518987342,0.6487341772151899,0.1518987341772152,18.0,33.1,165.0,0.6,-17.50900142858822,-28.61667056825268,1
5,11,VER,81.994,12.0,2.0,28.827,18.134,35.033,281.0,321.0,287.0,293.0,HARD,4.0,Red Bull Racing,1.0,228.21621621621622,325.0,93.0,73.97635135135135,0.6283783783783784,0.16891891891891891,18.0,33.0,141.0,0.8,26.090819315774976,-13.16318845856785,1
6,12,VER,83.286,13.0,2.0,28.876,18.642,35.768,272.0,287.0,286.0,281.0,HARD,5.0,Red Bull Racing,1.0,224.3527508090615,299.0,93.0,71.57281553398059,0.5792880258899676,0.14563106796116504,18.0,32.9,140.0,1.2,-27.237584319063235,6.10762553543425,1
7,13,VER,82.869,14.0,2.0,28.769,18.604,35.496,275.0,290.0,287.0,293.0,HARD,6.0,Red Bull Racing,1.0,227.90322580645162,300.0,95.0,71.93225806451613,0.603225806451613,0.16129032258064516,18.0,32.8,163.0,2.0,-18.778394038209434,-25.305755881916664,1
8,14,VER,82.817,15.0,2.0,28.785,18.527,35.505,274.0,290.0,286.0,290.0,HARD,7.0,Red Bull Racing,1.0,227.196875,300.0,94.0,72.7,0.60625,0.159375,18.1,32.5,155.0,1.0,-16.600661909322373,-17.350580112998372,1
9,15,VER,82.599,16.0,2.0,28.696,18.502,35.401,276.0,291.0,286.0,292.0,HARD,8.0,Red Bull Racing,1.0,227.55095541401275,300.0,96.0,72.10828025477707,0.5923566878980892,0.15286624203821655,18.0,32.5,346.0,1.1,-83.39098718500641,-191.63443639260183,2
10,19,VER,82.389,20.0,2.0,28.643,18.603,35.143,270.0,284.0,287.0,286.0,HARD,12.0,Red Bull Racing,1.0,227.80392156862746,297.0,93.0,74.00653594771242,0.6209150326797386,0.16013071895424835,17.9,32.0,126.0,1.8,-17.933221054188454,22.528677539568132,1
11,20,VER,82.11,21.0,2.0,28.596,18.437,35.077,274.0,285.0,288.0,285.0,HARD,13.0,Red Bull Racing,1.0,228.92857142857142,299.0,96.0,75.36363636363636,0.6558441558441559,0.1396103896103896,17.8,31.7,147.0,0.8,-22.5301343356472,-2.5788663145672572,1
12,21,VER,82.269,22.0,2.0,28.588,18.517,35.164,271.0,287.0,287.0,302.0,HARD,14.0,Red Bull Racing,1.0,228.30914826498423,301.0,96.0,73.84227129337539,0.6246056782334385,0.15141955835962145,17.9,31.7,321.0,1.6,-75.54077322081532,-167.42240340622288,2
13,22,VER,82.193,23.0,2.0,28.561,18.479,35.153,274.0,289.0,287.0,292.0,HARD,15.0,Red Bull Racing,1.0,229.27868852459017,299.0,91.0,73.20655737704918,0.6065573770491803,0.14098360655737704,17.8,31.7,120.0,1.7,-4.836839355445538,24.56532265059276,1
14,23,VER,81.843,24.0,2.0,28.374,18.413,35.056,276.0,290.0,287.0,293.0,HARD,16.0,Red Bull Racing,1.0,229.28301886792454,299.0,94.0,74.88364779874213,0.6477987421383647,0.14465408805031446,17.7,31.7,164.0,1.5,-21.06128637669786,-21.42507130933768,1
15,24,VER,82.104,25.0,2.0,28.561,18.458,35.085,275.0,288.0,288.0,290.0,HARD,17.0,Red Bull Racing,1.0,226.67320261437908,300.0,92.0,73.05882352941177,0.6013071895424836,0.14705882352941177,17.8,31.4,130.0,1.7,-9.287701930063495,14.46543522869417,1
16,30,VER,82.024,31.0,2.0,28.451,18.29,35.283,277.0,289.0,288.0,293.0,HARD,23.0,Red Bull Racing,1.0,228.33,301.0,93.0,73.55666666666667,0.62,0.16,17.8,31.0,152.0,1.2,-17.28675080953384,-7.026009500803599,1
17,33,VER,81.894,34.0,2.0,28.381,18.355,35.158,277.0,289.0,288.0,292.0,HARD,26.0,Red Bull Racing,1.0,229.70287539936103,300.0,94.0,76.03833865814697,0.6261980830670927,0.134185303514377,18.0,30.7,144.0,0.6,-16.050172199065127,2.193871817714335,1
18,34,VER,81.681,35.0,2.0,28.333,18.331,35.017,279.0,291.0,289.0,299.0,HARD,27.0,Red Bull Racing,1.0,229.58278145695365,301.0,94.0,75.55960264900662,0.6324503311258278,0.152317880794702,17.9,30.6,94.0,1.6,6.3079224362537065,47.88508519357474,1
19,35,VER,81.732,36.0,2.0,28.37,18.313,35.049,278.0,288.0,289.0,293.0,HARD,28.0,Red Bull Racing,1.0,230.4984126984127,300.0,94.0,74.4952380952381,0.6285714285714286,0.14603174603174604,17.9,30.6,118.0,1.3,-7.198721461181812,27.922261470970064,1
20,36,VER,81.403,37.0,2.0,28.327,18.257,34.819,279.0,290.0,289.0,294.0,HARD,29.0,Red Bull Racing,1.0,230.5559210526316,301.0,94.0,75.33223684210526,0.631578947368421,0.1513157894736842,17.8,30.4,135.0,1.3,-11.92378270248153,11.549870508025354,1
21,37,VER,81.319,38.0,2.0,28.293,18.217,34.809,278.0,295.0,291.0,292.0,HARD,30.0,Red Bull Racing,1.0,231.87781350482314,305.0,94.0,76.7749196141479,0.6463022508038585,0.12861736334405144,17.9,30.2,0.0,0.8,43.85787848085571,133.16924335799627,0
22,38,VER,81.578,39.0,2.0,28.528,18.282,34.768,276.0,289.0,289.0,294.0,HARD,31.0,Red Bull Racing,1.0,231.6925566343042,301.0,92.0,75.48867313915858,0.6440129449838188,0.15210355987055016,17.9,30.2,0.0,1.1,39.88390221672958,134.9894709296562,0
23,39,VER,81.078,40.0,2.0,28.204,18.226,34.648,280.0,290.0,290.0,291.0,HARD,32.0,Red Bull Racing,1.0,232.781045751634,300.0,94.0,77.7875816993464,0.673202614379085,0.13398692810457516,17.7,30.1,128.0,2.2,-12.459077213745475,20.009761694801618,1
24,43,VER,81.089,44.0,2.0,28.159,18.228,34.702,275.0,290.0,290.0,298.0,HARD,36.0,Red Bull Racing,1.0,234.46575342465752,303.0,92.0,78.4486301369863,0.6541095890410958,0.13013698630136986,17.6,29.6,0.0,1.7,40.75658679320078,135.4488966850293,0
25,44,VER,80.807,45.0,2.0,28.13,18.192,34.485,281.0,290.0,290.0,295.0,HARD,37.0,Red Bull Racing,1.0,234.20065789473685,301.0,100.0,77.20723684210526,0.6644736842105263,0.13157894736842105,17.6,29.6,136.0,1.2,-18.650693410828485,15.376873162216254,1
26,46,VER,84.107,47.0,2.0,28.065,18.117,37.925,281.0,291.0,287.0,291.0,HARD,39.0,Red Bull Racing,1.0,224.77198697068403,303.0,48.0,74.06514657980456,0.6351791530944625,0.1498371335504886,17.5,29.4,140.0,0.8,42.62755040194711,2.109483075185385,1
27,48,VER,80.342,49.0,2.0,27.834,18.133,34.375,284.0,287.0,291.0,291.0,HARD,41.0,Red Bull Racing,1.0,233.75415282392026,303.0,92.0,77.2624584717608,0.6677740863787376,0.12624584717607973,17.5,29.2,133.0,1.2,-20.194978384244948,19.3575949940297,1
28,49,VER,80.471,50.0,2.0,28.018,18.151,34.302,283.0,289.0,291.0,293.0,HARD,42.0,Red Bull Racing,1.0,235.18791946308724,302.0,93.0,76.03020134228188,0.6711409395973155,0.15436241610738255,17.5,29.2,160.0,0.8,-33.51578957563148,-8.127409114252488,1
29,50,VER,80.632,51.0,2.0,28.001,18.094,34.537,282.0,289.0,292.0,292.0,HARD,43.0,Red Bull Racing,1.0,231.7641196013289,304.0,93.0,75.43853820598007,0.6511627906976745,0.14285714285714285,17.5,29.1,106.0,0.6,-6.810638988534282,42.02853785337905,1
30,51,VER,80.738,52.0,2.0,28.025,18.09,34.623,281.0,289.0,291.0,296.0,HARD,44.0,Red Bull Racing,1.0,233.45666666666668,303.0,92.0,76.45333333333333,0.6466666666666666,0.12666666666666668,17.5,28.9,61.0,1.3,10.4309916279093,82.10247266710688,0
