,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,1,VER,107.707,2.0,1.0,38.431,43.642,25.634,194.0,212.0,318.0,322.0,MEDIUM,2.0,Red Bull Racing,2.0,200.5568720379147,329.0,69.0,63.03317535545024,0.5379146919431279,0.22748815165876776,25.0,43.3,174.0,2.2,-42.452485029240535,47.42031453987518,2
1,2,VER,107.677,3.0,1.0,38.493,43.718,25.466,196.0,203.0,342.0,322.0,MEDIUM,3.0,Red Bull Racing,1.0,199.47014925373134,343.0,65.0,62.28109452736319,0.5323383084577115,0.23134328358208955,25.0,43.1,160.0,1.3,-24.176383186385806,48.274060274131145,2
2,3,VER,107.108,4.0,1.0,37.933,43.372,25.803,197.0,209.0,311.0,316.0,MEDIUM,4.0,Red Bull Racing,1.0,200.6825,343.0,69.0,64.345,0.56,0.23,24.9,43.1,9.0,1.0,93.7612196596104,-50.650873660770024,1
3,4,VER,107.476,5.0,1.0,38.284,43.414,25.778,203.0,203.0,311.0,316.0,MEDIUM,5.0,Red Bull Racing,1.0,198.32125603864733,323.0,69.0,63.45169082125604,0.5434782608695652,0.22946859903381642,25.0,43.2,138.0,0.8,-15.18939634192975,22.5290063753233,2
4,5,VER,107.202,6.0,1.0,38.262,43.24,25.7,201.0,209.0,313.0,317.0,MEDIUM,6.0,Red Bull Racing,1.0,197.92518703241896,323.0,68.0,63.34912718204489,0.543640897755611,0.22443890274314215,25.0,43.3,275.0,1.0,-135.08231659905664,92.60254160418214,0
5,6,VER,106.995,7.0,1.0,38.268,43.032,25.695,206.0,212.0,314.0,317.0,MEDIUM,7.0,Red Bull Racing,1.0,202.6575682382134,323.0,71.0,65.84615384615384,0.5682382133995038,0.2109181141439206,24.8,42.3,21.0,0.6,68.44289494370288,-64.23663397532432,1
6,13,VER,106.936,14.0,2.0,38.813,42.577,25.546,200.0,215.0,314.0,319.0,HARD,4.0,Red Bull Racing,2.0,199.8080808080808,326.0,69.0,63.12626262626262,0.5404040404040404,0.23737373737373738,25.0,41.7,234.0,1.0,-96.76103880699858,76.47160955928365,0
7,14,VER,105.687,15.0,2.0,37.68,42.565,25.442,199.0,218.0,318.0,321.0,HARD,5.0,Red Bull Racing,2.0,201.45343137254903,327.0,70.0,63.6764705882353,0.5367647058823529,0.23039215686274508,25.1,42.8,52.0,1.8,47.17171159803685,-39.09080177840645,1
8,15,VER,105.497,16.0,2.0,37.64,42.482,25.375,208.0,223.0,318.0,322.0,HARD,6.0,Red Bull Racing,2.0,202.58679706601467,328.0,69.0,64.0757946210269,0.5574572127139364,0.22493887530562348,25.0,43.0,48.0,0.5,43.78259732671598,-51.585196003072184,1
9,17,VER,105.425,18.0,2.0,37.403,42.605,25.417,204.0,223.0,324.0,321.0,HARD,8.0,Red Bull Racing,2.0,199.7627551020408,328.0,69.0,63.00255102040816,0.5331632653061225,0.23469387755102042,25.1,42.6,65.0,1.0,34.0857218746833,-34.34886073442302,1
10,19,VER,105.446,20.0,2.0,37.256,42.789,25.401,203.0,213.0,320.0,323.0,HARD,10.0,Red Bull Racing,2.0,200.79899497487438,329.0,72.0,64.12562814070351,0.5527638190954773,0.22110552763819097,25.2,41.2,0.0,1.0,91.86367500988591,-67.60472653890324,1
11,20,VER,105.793,21.0,2.0,37.631,42.759,25.403,204.0,218.0,319.0,323.0,HARD,11.0,Red Bull Racing,2.0,200.22084367245657,329.0,68.0,63.54590570719603,0.5483870967741935,0.228287841191067,25.4,41.0,48.0,0.6,49.65918509795411,-42.468991175031185,1
12,21,VER,105.67,22.0,2.0,37.564,42.666,25.44,203.0,221.0,319.0,323.0,HARD,12.0,Red Bull Racing,2.0,204.9471032745592,329.0,70.0,64.29722921914357,0.5617128463476071,0.2216624685138539,25.4,40.8,343.0,1.0,-195.70683207245477,123.47470235379474,0
13,22,VER,105.902,23.0,2.0,37.754,42.708,25.44,205.0,221.0,319.0,322.0,HARD,13.0,Red Bull Racing,2.0,202.9575,328.0,69.0,65.6975,0.565,0.205,25.4,41.4,83.0,0.0,17.807181010421342,-25.95042305733409,1
