,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,1,VER,94.26,2.0,1.0,32.857,35.277,26.126,HARD,2.0,Red Bull Racing,8.0,205.63812154696132,322.0,66.0,59.651933701657455,0.4861878453038674,0.212707182320442,26.6,33.7,124.0,3.7,1.9612999618769003,1.2757147540675748,2
1,2,VER,94.127,3.0,1.0,32.337,35.896,25.894,HARD,3.0,Red Bull Racing,8.0,203.51790633608815,346.0,60.0,57.52892561983471,0.4573002754820937,0.24517906336088155,26.7,33.9,128.0,4.1,3.96663970552392,1.4243839676624497,2
2,3,VER,92.935,4.0,1.0,32.042,34.996,25.897,HARD,4.0,Red Bull Racing,6.0,206.3008356545961,324.0,65.0,62.97493036211699,0.5125348189415042,0.20334261838440112,26.9,33.9,158.0,4.8,0.07571402347334721,0.43864484551165367,2
3,4,VER,92.875,5.0,1.0,32.029,34.998,25.848,HARD,5.0,Red Bull Racing,6.0,205.31267605633803,319.0,66.0,62.94929577464789,0.5211267605633803,0.2,26.9,34.5,130.0,4.5,0.22136504777562185,0.1066917655479349,0
4,5,VER,92.753,6.0,1.0,31.893,35.037,25.823,HARD,6.0,Red Bull Racing,6.0,207.62426035502958,335.0,67.0,61.032544378698226,0.514792899408284,0.21301775147928995,27.0,35.2,122.0,3.7,0.6975167544570676,-0.8922799491909836,0
5,6,VER,92.555,7.0,1.0,31.915,34.921,25.719,HARD,7.0,Red Bull Racing,6.0,205.84256559766763,341.0,64.0,59.74052478134111,0.478134110787172,0.21282798833819241,27.2,35.5,147.0,3.2,1.34591094485019,-1.1653585227253525,0
6,7,VER,92.947,8.0,1.0,32.196,35.116,25.635,HARD,8.0,Red Bull Racing,5.0,206.81524926686217,350.0,60.0,60.23460410557185,0.4897360703812317,0.2375366568914956,27.3,35.8,134.0,4.0,2.3599989857145793,-1.3622932665652023,0
7,8,VER,92.988,9.0,1.0,31.89,35.221,25.877,HARD,9.0,Red Bull Racing,4.0,208.31767955801104,345.0,60.0,62.52209944751381,0.5193370165745856,0.20165745856353592,27.5,37.4,129.0,3.7,1.8875239747303216,-2.1979876578329214,0
8,9,VER,92.74,10.0,1.0,31.796,35.097,25.847,HARD,10.0,Red Bull Racing,4.0,206.1661971830986,317.0,65.0,62.10704225352113,0.5126760563380282,0.19436619718309858,27.7,37.9,107.0,3.0,1.28781835742733,-2.757279225654397,0
9,10,VER,92.251,11.0,1.0,31.481,34.914,25.856,HARD,11.0,Red Bull Racing,4.0,209.76023391812865,320.0,66.0,63.35087719298246,0.5292397660818714,0.19005847953216373,27.6,36.5,137.0,3.7,-0.518410451661089,-2.270543707268377,0
